Chunk,Embedding (first 10 dims)
"tüm malzemelerin hangi tarihte ve ne miktarda temin edileceğini gösteren çizelgedir. 
MRP ve MRP II’nin girdisidir. Çizelge mamuller veya satılan malzemeler için 
oluşturulabilir. Bağımsız talebin girildiği bölümdür. 
MPS’ nin amacı; 
• Belli bir müşteri memnuniyet seviyesine ulaşmak, 
• Malzeme, işçilik ve makinaların en iyi şekilde kullanılmasını sağlamak, 
• Malzemeye yatırımı, istenen seviyede tutmaktır. 
Planlama için gerekli satış tahminleri, pazarlama, diğer bilgiler satış tarafından","[ 0.02909379  0.04967953  0.01411209  0.03166635 -0.11333096  0.00147979
  0.07881092  0.07986633 -0.01363501 -0.04379315]"
"Planlama için gerekli satış tahminleri, pazarlama, diğer bilgiler satış tarafından 
oluşturulur. Genellikle, yakın dönemlere ait satış miktarları gerçek verilere dayanırken, 
daha sonraki dönemlere ait rakamlar ise satış tahminlerine dayanır.  
Üretim planı tahmine dayalı olduğu için hesaplamalar periyodik olarak 
tekrarlanarak planların güvenilirliği en üst düzeyde tutulmaya çalışılır. Satış ve 
pazarlama her dönem bekleyen siparişleri ve tahmin rakamlarını günceller. MPS’de","[-0.03769941  0.09980957 -0.01736094 -0.00726857 -0.09836218  0.01933201
  0.04157568  0.05697921 -0.05681961 -0.04527352]"
"pazarlama her dönem bekleyen siparişleri ve tahmin rakamlarını günceller. MPS’de 
geçmiş dönemlere ait bilgiler üzerinde durulmayıp daha ileriki dönemlerin tahminleri 
eklenir. Bu, periyodik olarak tekrarlanması gereken çok önemli bir işlevdir. 
 Ayrıca MPS, müşterilere teslimat tarihi bildirme olanağı sağlar. Bir siparişi 
karşılamak üzere ayrılmamış olan miktarlar, müşteriye sipariş sırasında söz verilebilir 
ve müşteriye teslimatlar doğru olarak planlanabilir (Hançer, 2005).  
 
 
 
 
 
21","[-0.01912391  0.07292736 -0.01260756 -0.01253036 -0.08591141 -0.00786553
  0.05938352  0.07239262 -0.02059107 -0.03311027]"
"ve müşteriye teslimatlar doğru olarak planlanabilir (Hançer, 2005).  
 
 
 
 
 
21
 
1.3.5. Kapasite İhtiyaç Planlaması (CRP) 
CRP, Üretim Planı’nın uygulanabilmesi için kapasite seviyelerini / limitlerini 
oluşturma, ölçme ve ayarlama işlevidir. Bunun için MRP sistemi tarafından oluşturulan 
açık iş emirleri ve planlanmış emirler kullanılır. Kritik olan değil, tüm iş merkezlerinin 
iş yükü dikkate alınır. 
CRP tüm girdilerle beraber, malzeme ihtiyaç planından gelen net ihtiyaç, açık","[ 0.00179495  0.02735791  0.00956795 -0.00416719 -0.01625345 -0.05634341
  0.0389294   0.04262095  0.00319886  0.00281638]"
"CRP tüm girdilerle beraber, malzeme ihtiyaç planından gelen net ihtiyaç, açık 
sipariş ve beklenen siparişlere göre her bir iş merkezi için her bir zaman diliminde 
gerekli kapasiteyi tahmin eder. Gerçek verilerle (makinelerin bakımı, arızalar, mevcut iş  
yükü) tahmin edilen kapasite karşılaştırılır (Şekil.6.). 
Şekil .6. CRP Kapasite İhtiyaç Planlaması Döngüsü                                                 
(CRP Capacity Requirement Planning) (Hançer, 2005)","[-0.01565978  0.03322669 -0.01502645 -0.02837632 -0.11524011 -0.03638273
 -0.00644211  0.11254151 -0.05036775 -0.02439783]"
"(CRP Capacity Requirement Planning) (Hançer, 2005) 
 
Kapasite İhtiyaç Planlaması (CRP Capacity Requirement Planning) MRP’nin 
çıktılarını kapasite kısıtları ile karşılaştırır ve Ana Üretim Çizelgesinin yapılabilirliğini 
kontrol eder. APICS tarafından şu şekilde tanımlanmıştır: “Kapasite seviyelerini veya 
sınırlarını belirleme, ölçme ve ayarlama fonksiyonudur, ayrıca üretim gereklerini 
yerine getirebilmek için gereken makine ve işgücü miktarını belirler” (Yegül, 2002).","[-0.03209165 -0.00160844 -0.00525083 -0.00812138 -0.10705914 -0.012422
 -0.03212748  0.08955793 -0.05646317  0.00889215]"
"yerine getirebilmek için gereken makine ve işgücü miktarını belirler” (Yegül, 2002).  
MRP’deki açık atölye emirleri ve planlanmış siparişler, bu siparişleri zaman 
periyodunda iş saatleri olarak iş merkezlerine yükleyen CRP için birer girdidir. CRP, 
kısa veya orta dönemde MRP ile üretilen malzeme planını gerçekleştirmek için gerekli 
olan spesifik işgücü ve teçhizat kaynaklarını miktar olarak belirler. Daha sonra gerekli 
 
 
22","[-0.0374271   0.07863709  0.00413204 -0.05001989 -0.06270209 -0.02695145
  0.07346761  0.06481677 -0.0183981  -0.05328811]"
"olan spesifik işgücü ve teçhizat kaynaklarını miktar olarak belirler. Daha sonra gerekli 
 
 
22
 
kapasite, potansiyel aşırı veya az yüklemeleri belirlemek için mevcut kapasite ile 
karşılaştırır (Yetiş, 1993). 
1.3.6. Üretim Kaynakları Planlaması ( MRP II ) 
Ekonomide ve tüketim eğilimlerinde ortaya çıkan gelişmeler pazarın daha 
ağırlıklı biçimde müşteri tarafında belirlenir olması sonucunu doğurdu. Bunun 
sonrasında da imalat firmalarında stoğa yönelik üretimden, siparişe yönelik üretim","[-0.04509004 -0.01693826 -0.01542887 -0.0111829  -0.04616518 -0.04729436
  0.00616212  0.07378941 -0.02930331 -0.01212398]"
"sonrasında da imalat firmalarında stoğa yönelik üretimden, siparişe yönelik üretim 
biçimine doğru bir kayma oldu. Bu ise daha çok ürün çeşidi anlamına geliyordu ve o 
yıllara kadar ana sorun olan malzeme ve hammadde tedarikinin yanı sıra etkin kapasite 
kullanımı gereği, küçük miktarlarda ekonomik üretim yapabilir olması ve etkin 
finansman yönetimi gibi konular büyük önem kazandı. Bu şekilde karmaşık hale gelen 
üretim yönetimi disiplininde MRP yetersiz kaldı.","[-0.01881026  0.0258853  -0.03805392  0.03369292 -0.12255275  0.02969617
  0.07359723  0.05691285  0.00229718 -0.01893672]"
"üretim yönetimi disiplininde MRP yetersiz kaldı.  
Firma üretim programının tüm kaynaklara sahip olup olmadığı ve pazarlama 
satış tahminlerini gerçekleştirebilme durumunun MRP kapsamında ele alınmaması, 
yöntemin sınırlı olduğunun diğer göstergeleridir. Bu nedenle MRP’nin yalnızca 
envanter yöntemini hesaplanabilme rolünü arttıracak, üretim için gerekli olan tüm 
kaynakları optimize etmeyi amaçlayacak, üretim ile firmanın diğer fonksiyonlarını","[-0.01104614  0.01382041 -0.01554032  0.01358651 -0.10403551  0.04705487
  0.03674809  0.08236863 -0.04884396 -0.01170735]"
"kaynakları optimize etmeyi amaçlayacak, üretim ile firmanın diğer fonksiyonlarını 
bütünleştirecek bir felsefeye gereksinim olduğu ortaya çıktı.  
Bir imalat firmasının tüm kaynaklarının etkin olarak planlanması ve yönetimi 
olan Üretim Kaynakları Planlaması (Manufacturing Resources Planing-MRP II) 
yaklaşımı, bu anlayışın ürünü olarak 1980’lerde yazılım paketleri olarak piyasada 
görülmeye başlandı (Somar, 2004).","[-0.0093909   0.04281338 -0.02098783  0.00679289 -0.08049478 -0.00625949
 -0.03673901  0.06759386 -0.05181991 -0.04432408]"
"görülmeye başlandı (Somar, 2004).  
MRP II, üretim işletmelerindeki tüm veri çalışmalarının uyumu ile ilgilidir. Bu 
uyumla, işletme içindeki tüm malzeme hareketleri sürekli ve düzenli olarak bilgisayar 
kaydına alınarak bütün işletme birimlerince ortaklaşa kullanılan bir veri tabanında 
yaşatılmaktadır. Böylece işletme yönetimine, geleceği daha etkili planlayabilme ve 
alınan kararların sonuçlarını süratle irdeleyebilme gücü kazandırılmış olmaktadır.","[ 0.10263082  0.00613848  0.03430445 -0.01209936 -0.08435026 -0.02149473
  0.02578311 -0.01215548 -0.01986168 -0.00813012]"
"alınan kararların sonuçlarını süratle irdeleyebilme gücü kazandırılmış olmaktadır. 
MRP II kavramının uyumdan sonra gelen anahtar özelliği geri besleme 
olgusudur. Planlama ve üretimin her aşamasında ortaya çıkabilecek sorunlar ya da yeni 
oluşumlar karşısında daha önceki seviyelere geri dönerek sistemi yeni şartlara 
uydurabilme olanağı her zaman vardır.  
 
 
23
 
MRP II bir imalat işletmesinin tüm kaynaklarının etkin olarak planlanması","[ 0.01450178  0.03917494  0.02449231  0.0455308  -0.06999085 -0.02314829
  0.03575864  0.05900612 -0.03205067 -0.02926998]"
"23
 
MRP II bir imalat işletmesinin tüm kaynaklarının etkin olarak planlanması 
yöntemidir. Sonuç olarak, MRP II uyum ve geri besleme faktörlerini bilgisayar 
teknolojisi yardımıyla etkin bir şekilde kullanarak işletmedeki planlama, üretim, 
finansman sürecini modelleyen ve verim artışını hedefleyen bir araçtır. MRP II’yi diğer 
üretim ve planlama ve kontrol sistemlerinden ayıran özellikler şunlardır (Yegül, 2002):","[ 0.04864137  0.0325066   0.03945077  0.00126715 -0.09134696 -0.060311
  0.01892208  0.06080965 -0.01435231 -0.02736156]"
"üretim ve planlama ve kontrol sistemlerinden ayıran özellikler şunlardır (Yegül, 2002): 
•  MRP II, bir toplam yönetim sistemidir. İş planlarında belirlenmiş amaçlara 
ulaşabilmek için gerekli tüm fonksiyonları birleştirir ve koordine eder. 
•  MRP II, baştan aşağıya bir sistemdir. Planlama projesi; bir dizi fonksiyonel, 
operasyonel planlara bölünerek stratejik planların formülasyonu ile başlar.  
•  Stratejik ve operasyonel alternatifler MRP II simülasyonu ile elenirler.","[-0.02106473  0.05782499  0.00552292 -0.03031334 -0.09267279 -0.00682879
 -0.04581436  0.14842705 -0.00592192  0.01089523]"
"•  Stratejik ve operasyonel alternatifler MRP II simülasyonu ile elenirler.  
•  MRP II, tüm firmalarda aynı rakamların kullanıldığı ortak bir veri tabanı 
oluşturulmasını sağlar. 
MRP II; malzeme ihtiyaç planlamasının yanı sıra, kapasite ihtiyaç planlama, 
maliyetlendirme 
ve 
maliyet 
kontrol 
faaliyetlerinin 
eşgüdümlü 
olarak 
gerçekleştirdiğinden MRP sistemini içine alan ve ondan çok daha bütünleşik ve etkin 
bir sistemdir.","[-0.0016475   0.02444324 -0.01510843 -0.00294756 -0.08248703 -0.0071606
  0.0080178   0.09674036 -0.02780107 -0.019397  ]"
"bir sistemdir. 
Firmaların MRP II’den beklentileri tek kelimeyle, “Üretkenlik” olarak ifade 
edilebilir. Stok seviyelerinde azalma, müşteri hizmetlerinde iyileşme, direkt işçilik 
üretkenliğinde artma, malzeme elde bulundurmama maliyetlerinde azalma, fazla 
mesailerde azalma, bilgi iletişim ve koordinasyon düzeyinde artma gibi faydalar MRP 
II’den beklenen faydalardır. 
MRP II çözümlerinin hedefleri ve yararları incelendiğinde temel olarak bir 
işletmede;","[ 0.05051517  0.07561227  0.01427828  0.02039878 -0.09308828 -0.04062498
  0.0421862   0.06656826  0.016078   -0.02339938]"
"MRP II çözümlerinin hedefleri ve yararları incelendiğinde temel olarak bir 
işletmede; 
•  Ne yapacağız? Ne kadar yapacağız? Yapabilir miyiz? 
•  Ne kadar sürer? 
•  Ne’den ne kadar var? 
•  Ne almalıyız? 
 
 
24
 
sorularının cevapları alınmaya çalışılır. Bu konularda geleceği görebilme, çeşitli 
senaryolara göre denemelerde bulunma imkânı yaratılır. Bu nedenlere göre malzeme, 
kapasite, finansman, satın alma, pazarlama ihtiyaçları önceden görülmüş olur.","[ 0.00819393  0.0454051   0.00741919  0.01210765 -0.05137835 -0.00021056
  0.0442942   0.03198214 -0.03050628 -0.01130873]"
"kapasite, finansman, satın alma, pazarlama ihtiyaçları önceden görülmüş olur. 
MRP II çözümlerinden elde edilecek yararlar aşağıdaki gibi belirtilebilir: 
•  Azalan envanter düzeylerinin tamamlanması, 
•  Azalan kullanılmayan malzeme miktarları ve değerlendirilmesi, 
•  Artan müşteri tatmini (Teslim zamanlarına uyabilme özelliği), 
•  Verimlilik düzeyinin artması, 
•  Satın alma ve fason maliyetlerinin azalması, 
•  Taşıma maliyetlerinin azalması,","[-0.00791004  0.06692405 -0.02224296  0.02275503 -0.06422613 -0.01921018
  0.04707856  0.02910345 -0.07344354 -0.05766754]"
"•  Satın alma ve fason maliyetlerinin azalması, 
•  Taşıma maliyetlerinin azalması, 
•  Malzeme elde bulundurmama maliyetlerinin azalması, 
•  Fazla mesailerin azalması, 
•  Bilgi iletişim düzeyinin artması, 
•  Makine kullanım oranlarının artması. 
Özellikle somut olarak, işletmenin mevcut durumuna bağlı olarak envanter 
düzeylerinde (hammadde, yarı mamul, mamul) %30–50, teslim gecikmelerinde %50–70 
oranında azalma ve verimlilikte ise %5–30 düzeyinde artış sağlanmaktadır (Yegül, 
2002).","[ 0.0359025   0.03209158 -0.0096516   0.03649539 -0.04804338 -0.00318112
  0.03704245  0.07419173  0.01101283 -0.04952826]"
"oranında azalma ve verimlilikte ise %5–30 düzeyinde artış sağlanmaktadır (Yegül, 
2002).  
MRP sistemine yapılan eklemeler neticesinde üretim kaynakları planlamasının 
işleyişi Şekil.7.’de gösterilmiştir. 
 
 
25
 
Şekil.7. Üretim Kaynakları Planlaması (MRPII) Sistemi                            
(Somar, 2004) 
 
1.3.7. Dağıtım Kaynakları Planlaması 
Dağıtım Kaynakları Planlaması (DRP, Distribution Resource Planning) MRP’","[ 0.02430177  0.05416767 -0.00190347 -0.02440021 -0.07551448 -0.06216891
 -0.0437239   0.05730102 -0.02393509  0.01348277]"
"Dağıtım Kaynakları Planlaması (DRP, Distribution Resource Planning) MRP’ 
den esinlenerek envanterin dağıtımında en iyi çözümü bulmaya çalışan bir yöntemdir. 
Literatürde ilk kez 1975 yılında Kanada’da bulunan Abbott laboratuarlarında 
kullanılmıştır (Greene, 1987).  
DRP sistemi şu kıstasları dikkate alarak çalışır; taşıma araçları ve teçhizatları, 
yükleme / indirme alanı, depolama alanı ve hacmi, ürünlerin birbirine göre taşıma ve","[ 0.01388764  0.04188807 -0.02841382  0.00214753 -0.06193043  0.02057442
 -0.01300412  0.04195016 -0.0540404   0.05068133]"
"yükleme / indirme alanı, depolama alanı ve hacmi, ürünlerin birbirine göre taşıma ve 
depolama özellikleri, taşımadaki tonaj ve zaman kısıtlarıdır. DRP, ihtiyaçlar oluştukça 
 
 
26
 
ilk planlamayı yapar ve bununla yetinmeyerek her değişiklik için de planları yeniler. 
DRP’de bir merkezi depo ve ona bağlı dağıtım depoları söz konusudur. Talep, gerek ara 
depolara gerekse merkezi depolara olabilir. Merkezi depo, hem tali depolardan gelen","[ 0.01229453  0.13580866  0.02328927 -0.02095906 -0.04411952 -0.05130806
  0.01566771  0.13066128  0.04752101  0.00511918]"
"depolara gerekse merkezi depolara olabilir. Merkezi depo, hem tali depolardan gelen 
hem de doğrudan kendisine gelen talepleri karşılamak zorundadır. Bunları 
karşılayabilmek için daha fazla miktarda emniyet stoku bulundurur. 
DRP, periyotlar boyunca dağıtım depolarının gereksinimlerinin projeksiyonunu 
yapar ve ana depodan planlanmış siparişleri oluşturur. DRP; üretim kapasitesinin ve 
stokların etkin bir şekilde tahsis edilmesini sağlamak, müşteri servis düzeyini","[-0.05812405  0.07151545 -0.01696766 -0.00523698 -0.08855601 -0.07277997
  0.05560753  0.1183584   0.03318362 -0.00464221]"
"stokların etkin bir şekilde tahsis edilmesini sağlamak, müşteri servis düzeyini 
yükseltmek ve stok yatırımlarını düşürmek için, üretim ve dağıtım yöneticileri 
tarafından ihtiyaç duyulan bilgi akışını sağlar.  
Son yıllardaki teknolojik gelişmeler, firmaların pazarda tutunabilmelerini 
zorlaştırmış, klasik yaklaşımların yetersizliğinin açığa çıkması ile beraber yöneticiler 
kullandıkları üretim teknolojilerini ve yönetimsel yaklaşımlarını tekrar gözden geçirmek","[-0.00673128 -0.01032743 -0.02219852  0.01945806 -0.085895    0.00494738
  0.05315361  0.11636508 -0.014739   -0.04460649]"
"kullandıkları üretim teknolojilerini ve yönetimsel yaklaşımlarını tekrar gözden geçirmek 
zorunda kalmışlardır. Öte yandan gümrük duvarlarının yıkılması neticesinde küresel 
ekonomi ve rekabet kavramlarının ortaya çıkması, tedarikçiden başlayarak, tüm üretim 
sürecini ve müşteriyi de içine alan “Tedarik Zinciri Yönetimi” kavramını ön plana 
çıkartmıştır. Pazardaki güçlü değişimlere ve teknolojik gelişmelere işletmelerin","[-0.03835181  0.06074831 -0.0349534   0.03294564 -0.05529755  0.02261699
  0.06363202  0.11314169 -0.03186813 -0.00862445]"
"çıkartmıştır. Pazardaki güçlü değişimlere ve teknolojik gelişmelere işletmelerin 
organizasyonel yapılarındaki kurumsallaşmaya yönelim de eklenince ortaya yeni bir 
kavram olan Kurumsal Kaynak Planlaması (Enterprice Resource Planning-ERP) 
kavramı çıkmıştır (Hançer, 2005). 
. 
 
 
 
 
 
 
 
 
 
 
27
 
2. BÖLÜM: ERP SİSTEMİNİN ÖZELLİKLERİ, KURULUMU VE 
ERPII'YE GEÇİŞ 
2.1. ERP SİSTEMLERİNİN OLUŞUMU VE TEMEL ÖZELLİKLERİ","[ 0.01448303  0.05116449 -0.03465282  0.0174813  -0.04751809 -0.04045398
  0.01612957  0.07582711  0.03585982 -0.01519483]"
"ERPII'YE GEÇİŞ 
2.1. ERP SİSTEMLERİNİN OLUŞUMU VE TEMEL ÖZELLİKLERİ 
ERP sistemi uygulamaları, projeler ( tanımlanmış bir başlangıç ve bitiş ile sınırlı 
kaynaklar ile bir kez yapılan aktiviteler grubu ) gibi kategorize edilir. Bununla birlikte 
gerçekte ERP uygulamaları, mevcut iş şartlarında daimi işler olmuştur. Bunun nedenleri 
ise, sürekli olan teknoloji güncellemeleri, teknolojik değişime bağlı olma, işletme","[ 0.07784062  0.0723607  -0.00659672 -0.038281   -0.06028439 -0.07401968
  0.09415872  0.02240234  0.03827963 -0.00089514]"
"ise, sürekli olan teknoloji güncellemeleri, teknolojik değişime bağlı olma, işletme 
birleşmeleri ve işletme satın alımları, işletme ayrılmaları ve insanların bir projeden 
diğerine geçişleridir (Karakanian, 1999).  
ERP sisteminde amaç; muhasebe, finans, lojistik, üretim planlama, stok 
yönetimi, satın alma, üretim, pazarlama, kalite yönetimi, insan kaynakları, 
bakım/onarım, müşteri ilişkileri yönetimi gibi fonksiyonlar arasındaki işbirliği ve","[ 0.02703295  0.00430482  0.00635523 -0.00210371 -0.050092   -0.04465895
  0.06171482  0.02647199  0.01993324 -0.02121216]"
"bakım/onarım, müşteri ilişkileri yönetimi gibi fonksiyonlar arasındaki işbirliği ve 
etkileşimi geliştirmektir. Böylelikle bu fonksiyonların en yüksek rekabet avantajı elde 
etmesine imkân verilir. Şekil.8., ERP sisteminin işleyişi hakkında daha net bir fikir 
vermektedir.  
ERP sisteminin önemli özelliklerinden biri, işletmeninin coğrafi olarak farklı 
bölgelerde (yurt içi ve dışı) bulunan fabrikalarının, bunların tedarikçi firmalarının ve","[ 0.00079472 -0.00575336 -0.02827614  0.01034292 -0.0264161   0.01067854
  0.07182518  0.09736074  0.0138069  -0.05492042]"
"bölgelerde (yurt içi ve dışı) bulunan fabrikalarının, bunların tedarikçi firmalarının ve 
dağıtım merkezlerinin kaynaklarını eşgüdümlü olarak planlamasıdır (Düzakın ve 
Sevinç, 2002). 
Ulusal veya uluslararası düzeyde birden fazla fabrikası, tesisi ve depoları 
bulunan bir işletmenin tüm kaynaklarını etkin ve verimli bir şekilde planlayabilmesi, 
ERP yaklaşımı ile olası hale gelmektedir (Danismend,2006).  
Bu çerçevede, hangi müşteriye ait hangi siparişin hangi dağıtım merkezinden","[ 0.00356105 -0.01145499 -0.01182535  0.00911259 -0.05287461  0.00484216
  0.04241224  0.03560224 -0.01447745 -0.04253629]"
"Bu çerçevede, hangi müşteriye ait hangi siparişin hangi dağıtım merkezinden 
karşılanması veya hangi fabrikada üretilmesi gerektiği, tüm fabrikaların malzeme ve 
hizmet ihtiyaçlarının nereden karşılanmasının uygun olacağı, fabrikaların elinde 
bulunan makine, malzeme, işgücü, enerji, bilgi vb. üretim ve dağıtım kaynaklarının 
nasıl eşgüdümlü ve ortaklaşa olarak kullanılabileceği belirlenmiş olmaktadır.  
Diğer bir deyişle, müşteriye ait siparişin en kısa sürede, istenen kalite ve","[-0.00042869  0.01273127 -0.01985594  0.0114888  -0.09418913  0.00135297
  0.10938941  0.03257928 -0.01016305 -0.06223929]"
"Diğer bir deyişle, müşteriye ait siparişin en kısa sürede, istenen kalite ve 
maliyette karşılanabilmesi için tüm bağlı işletmelerin dağıtım, üretim ve tedarik 
kaynaklarının kapasite ve özellikleri aynı anda dikkate alınmaktadır (Şener, 2001). 
 
 
28
 
Şekil.8. ERP Sistemi  
(Hançer, 2005) 
Aynı şekilde bünyesi içinde farklı fabrikalar veya aynı fabrika bünyesi içinde 
farklı üretim tiplerinde farklı üretim süreçlerinin olması, esnek bir kaynak planlama","[ 0.01549622 -0.00990538  0.00655493  0.03285566 -0.05895319 -0.04674396
  0.04720589  0.05103293  0.0402593  -0.02751594]"
"farklı üretim tiplerinde farklı üretim süreçlerinin olması, esnek bir kaynak planlama 
yaklaşımının uygulanmasını gerektirmektedir. ERP, bu farklılıklar ile baş edebilen bir 
yapıya sahiptir. Fabrikalar arası uyumu, fabrikalar bazındaki esneklik ilkesine uygun 
olarak gerçekleştirir. Amaç, fabrika bazında azami merkezi yönetimin avantajlarından 
yararlanırken, fabrikalar arası koordinasyonu ve uyumu işletmenin temel stratejileri 
doğrultusunda sağlamaktır (Şener, 2001).","[ 0.00177995  0.01467991 -0.04455875  0.01805279 -0.04852057 -0.00570871
  0.0214981   0.05749477  0.01357875 -0.06762178]"
"doğrultusunda sağlamaktır (Şener, 2001). 
 
2.2. ERP’NİN TEMEL TEKNİK ÖZELLİKLERİ  
ERP programlarının kurulumunun, işleyişinin, diğer uygulama alanlarıyla 
bağlantılarının bilinmesi gerekmektedir. ERP programının işleyişiyle ilgili temel teknik 
özellikler şu şekilde sıralanabilir: 
• Tüm uygulama alanlarında birbiriyle tutarlı grafik arayüzleri oluşturur. 
 
 
29
 
•    Uygulamada, veri tabanı ve sunum olmak üzere üç katmandan oluşan bir 
istemci sunucu mimarisi vardır.","[ 0.03530807  0.04724987 -0.00580605  0.01235886 -0.07178576 -0.03901339
  0.05830896  0.03390386  0.00421617 -0.03820704]"
"istemci sunucu mimarisi vardır. 
• İşletim sistemi ve donanımdan bağımsızdır, ERP paketleri Solaris, Windows 
NT ya da Linux gibi farklı sistemler üzerine kurulabilir. 
• Yönetimin karmaşık olması sadece ERP’nin özelliği olmamakla birlikte, bu 
sistemler kadar kritik öneme haiz sistem sayısı azdır ( Tanyaş,2001).  
Sonuç olarak ERP sistemleri temelde, MRP ve MRP II sistemlerine yapılan 
eklemeler neticesinde şekillenmiştir (Şekil.9.). 
Şekil.9. ERP Sisteminin Kapsamı  
 (Tanyaş, 2001)","[-0.03071632 -0.00604185 -0.0182751  -0.06284283 -0.04195921 -0.04683634
  0.05207712  0.0600647   0.02453577  0.00068389]"
"Şekil.9. ERP Sisteminin Kapsamı  
 (Tanyaş, 2001) 
 
2.3.ERP SİSTEMLERİNİN KURULUMU VE KRİTİK ETMENLER 
İdeal koşullarda bile çok masraflı yatırımlar olan ERP sistemlerin kurulumu, 
dışarıdan göründüğü kadar kolay değildir. ERP sistemlerinin kurulumu, bir yazılım 
sistemi kurulumundan çok daha karmaşık bir işletme organizasyonudur ve üzerinde titiz 
bir çalışma yapılmadığı takdirde büyük kayıplara yol açabilmektedir. ERP sistemlerini","[ 0.06090327 -0.03890498 -0.02287528 -0.02505076 -0.11985357 -0.04373838
  0.04781354  0.0847625   0.01999438 -0.0455041 ]"
"bir çalışma yapılmadığı takdirde büyük kayıplara yol açabilmektedir. ERP sistemlerini 
kuran her işletme, bu sistemin maliyeti ve karmaşıklığıyla yüz yüze kalmaktadır, ancak 
en ciddi sorunlar, ERP sistemlerinin tüm iş kavramları tam anlaşılmadan, düşünülmeden 
 
 
30
 
kurulmasıyla ilgilidir. ERP sistemlerinin kurulumu, para ve zaman kaybının yanında 
firmanın kültürünü bozabilir, geniş bir eğitim gereksinimi doğurabilir ve hattâ üretimin","[-0.0042373   0.01188948 -0.02872367 -0.02773341 -0.09161653  0.0054995
  0.08563264  0.05942377  0.03824756 -0.00443064]"
"firmanın kültürünü bozabilir, geniş bir eğitim gereksinimi doğurabilir ve hattâ üretimin 
azalması ve değerlendirilemeyen müşteri sipârişlerine yol açabilir.  
Birçok araştırmacı, ERP sistemlerinin başarıyla sonuçlanması için farklı kritik 
etmenler belirlemiştir. Bu çalışmada bu etmenler, kurulumun üç ana aşamada 
gerçekleştiği temel alınarak sınıflandırılmışlardır (Şekil.10.). Bunlar; 
1. Kurulum öncesi dönemi kritik etmenleri, 
2. Yayılma dönemi kritik etmenleri,","[ 0.00393155 -0.00468493 -0.03424481 -0.03907099 -0.11188126 -0.01113966
  0.06482598  0.05761804 -0.01126906 -0.01113011]"
"1. Kurulum öncesi dönemi kritik etmenleri, 
2. Yayılma dönemi kritik etmenleri, 
3. Kurulum sonrası kritik etmenleridir. 
 
 
Şekil.10. Sınıflandırmanın Yapısı ve Alt Etmenler  
(Baskak ve Cetişli, 2003) 
 
 
2.3.1. Kurulum Öncesi Dönemi Kritik Etmenleri 
 Bu dönem, ERP sistemlerinin temelinin atıldığı dönemdir. İşletmenin vizyonu 
ve stratejik hedefleri doğrultusunda ortaya çıkan tetikleyici etmen, işletmenin üst","[ 0.04197685 -0.00235787  0.03860428 -0.03077506 -0.10475166 -0.03852918
  0.03466129  0.00521046 -0.02058049  0.02928409]"
"ve stratejik hedefleri doğrultusunda ortaya çıkan tetikleyici etmen, işletmenin üst 
yönetimi tarafından işletmenin lehine çevrilmesi için değerlendirilmelidir. Bu tetikleyici 
etmen, gereksinim nedeniyle doğmuş veya potansiyel fırsatların değerlendirilmesi için 
proaktif itme olarak üst yönetim tarafından yaratılmış olabilir. Bu tetikleyici etmenler 
 
 
31
 
sonucunda, istenen hedeflere ulaşmayı sağlayacak kararlar alınır (Baksak ve Cetişli, 
2003).  
2.3.2. Yayılma Dönemi Kritik Etmenleri","[ 0.04021656 -0.02187761  0.02735604 -0.03238633 -0.06361171 -0.01663977
  0.04481043  0.06150981 -0.01575215  0.0187283 ]"
"2003).  
2.3.2. Yayılma Dönemi Kritik Etmenleri 
 Bu dönemdeki etmenler, sistem kurulumunun ""Ne"" ile yapılacağından ""Nasıl"" 
yapılacağına geçişle ve rehber plânlarının değer zinciri yönüne odaklanan gerçek 
eylemlere dönüştürülmesi ile ilgilidir. Yayılma devresi, tüm kritik süreç ve çekirdek 
eylemlerin dokümantasyon, analiz, gelişme, kontrol ve yeniden tasarım fırsatlarının 
tanımlarını içerir. Bu eylemler; çalışanların yönetimi (yetenek, becerileri vb.), değişim","[-0.03522296  0.03128343 -0.03226135  0.00011728 -0.06290313  0.01271953
  0.01405439  0.08903445 -0.07156775 -0.03916715]"
"tanımlarını içerir. Bu eylemler; çalışanların yönetimi (yetenek, becerileri vb.), değişim 
yönetimi (organizasyonun değişime hazırlanması, dirençle baş etmek, iletişimi 
genişletmek, farkındalık vb.), takım geliştirme (eğitim bildirileri, ödül, kabul görme 
vb.), tekniğin ve araçların kullanımı (sorun çözme araçları, ölçüm araçları, gereksinim 
analiz araçları vb.) ve proje yönetim becerisi ile birleştirilir (Mashari ve Mudumigh, 
2003). 
2.3.3. Kurulum Sonrası Dönemdeki Kritik Etmenler","[ 0.00187426  0.04076203 -0.02732768 -0.00435929 -0.08615612  0.01004595
  0.01930108  0.0994825  -0.00335327 -0.04154459]"
